alloy,temp,thermal expansion(mm/mm)
6061,25.84389,0.00004
,29.53586,0.00006
,33.75528,0.0001
,39.55696,0.00012
,43.77637,0.00015
,47.46835,0.00017
,51.16034,0.00019
,55.37975,0.00025
,60.12657,0.00021
,64.346,0.00029
,69.62026,0.00037
,73.31222,0.0004
,78.05907,0.00046
,83.33333,0.00054
,88.60759,0.00058
,93.88185,0.00064
,99.15611,0.00069
,105.48525,0.00079
,108.12238,0.00087
,113.39665,0.00092
,117.08861,0.00096
,121.83546,0.0011
,126.05484,0.00116
,131.3291,0.00121
,135.02111,0.00129
,139.2405,0.00139
,142.9325,0.00148
,147.15189,0.00156
,152.42615,0.00168
,157.70041,0.00177
,157.70041,0.00193
,157.17299,0.00208
,161.91984,0.00179
,163.50213,0.00191
,167.1941,0.002
,171.94094,0.0021
,175.63291,0.00221
,178.79746,0.00231
,184.07172,0.00241
,186.70885,0.00248
,189.34598,0.00262
,193.56541,0.00268
,197.25737,0.00277
,202.00422,0.00287
,205.69622,0.00298
,210.44303,0.0031
,214.66245,0.00318
,217.29958,0.00325
,220.46413,0.00333
,224.15614,0.00343
,227.84811,0.00352
,232.06753,0.00362
,234.17721,0.00374
,238.39663,0.00383
,241.03376,0.00393
,243.67089,0.00401
,248.41774,0.00414
,252.63712,0.00426
,256.32913,0.00435
,259.49368,0.00443
,263.18564,0.00441
,266.87765,0.00449
,270.0422,0.00466
,275.84388,0.00478
,280.06331,0.00493
,284.28269,0.00506
,288.50212,0.00512
,291.13925,0.00524
,294.3038,0.00533
,297.46834,0.00543
,302.74261,0.00557
,306.96203,0.00568
,311.70888,0.00578
,315.92826,0.00591
,318.56539,0.00601
,322.78482,0.00614
,328.05908,0.00626
,331.75105,0.00635
,335.44305,0.00647
,338.6076,0.00662
,343.88186,0.00668
,345.99158,0.00684
,350.73842,0.00691
,356.5401,0.00709
,360.75948,0.00726
,366.03375,0.00734
,370.25317,0.00745
,373.41772,0.00757
,378.16456,0.00768
,382.91141,0.00778
,385.02112,0.00793
,390.8228,0.00809
,396.62448,0.0083
,400.84386,0.00836
,405.06329,0.00845
,409.28272,0.00859
,415.08444,0.00872
,417.19411,0.00888
,422.46837,0.00897
,426.6878,0.00909
,430.90722,0.00919
,435.12657,0.0093
,440.40083,0.00949
,446.20255,0.00963
,449.89451,0.00976
,453.58648,0.00988
,459.91566,0.01003
,464.66246,0.01015
,467.29959,0.01026
,470.46418,0.01038
,475.73844,0.01053
,479.95779,0.01069
,484.17722,0.0108